customer_id,age,monthly_spend,visits_per_month,avg_discount_used,distance_from_store_km
155,19,1553,19,56,3.68
156,20,2983,14,33,7.31
157,54,3031,8,53,10.99
158,34,557,9,33,2.92
159,19,3219,22,57,7.66
160,19,867,11,48,7.76
161,45,4668,23,20,8.93
162,40,1345,1,48,2.01
163,54,4385,14,51,8.73
164,49,3919,5,14,10.95
165,50,2945,21,34,2.57
166,18,739,14,29,3.23
167,36,2979,4,43,11.67
168,19,4336,22,24,2.58
169,43,3975,23,9,10.33
170,49,2708,1,5,6.16
171,23,2979,22,34,3.34
172,49,1124,23,53,10.51
173,21,3156,19,7,5.62
174,28,1781,8,49,6.42
175,34,3524,15,18,4.63
176,41,4685,21,34,7.32
177,22,455,15,54,2.38
178,51,2038,9,8,5.0
179,23,2144,21,22,11.65
180,39,209,9,41,3.47
181,28,3071,10,29,8.05
182,33,997,20,52,4.24
183,50,1215,21,5,9.39
184,26,2024,9,57,2.01
185,23,4669,3,50,11.65
186,33,3336,20,19,5.72
187,46,2393,11,13,3.21
188,20,423,6,19,1.35
189,37,4358,2,53,2.45
190,53,4125,7,28,6.48
191,36,4984,18,8,4.38
192,43,4200,2,16,10.03
193,20,1833,17,41,5.46
194,36,2352,11,41,3.36
195,37,710,12,47,7.6
196,49,584,19,10,8.63
197,24,604,22,43,2.42
198,50,4813,24,50,2.43
199,35,4771,7,28,0.92
200,18,2200,20,15,8.97
201,28,2956,6,17,8.13
202,45,1868,21,38,5.96
203,42,1660,24,29,10.21
204,40,3836,1,11,9.77
205,48,2924,17,56,7.23
206,47,4378,11,8,10.49
207,52,2248,22,12,2.87
208,24,4346,18,24,1.79
209,33,4980,21,33,3.6
210,43,916,17,58,1.16
211,19,4744,7,57,6.61
212,18,4783,17,55,11.27
213,29,2023,20,49,0.95
214,22,2281,9,50,1.9
215,54,3619,17,14,5.7
216,49,1774,20,47,11.24
217,26,449,22,38,4.14
218,52,873,22,30,6.33
219,36,4733,8,45,0.98
220,33,2365,17,53,2.21
221,20,970,7,7,11.85
222,37,4162,1,10,11.6
223,41,4563,13,9,0.56
224,50,2184,23,9,11.45
225,41,1277,19,58,7.85
226,28,435,24,51,10.48
227,25,588,19,27,5.73
228,53,3237,17,53,6.43
229,37,2048,13,13,6.12
230,52,4919,16,39,8.17
231,42,3014,8,24,2.11
232,52,3574,19,53,0.84
233,42,3478,18,46,4.04
234,46,1452,1,39,8.6
235,35,4181,14,54,2.82
236,35,4873,19,22,8.24
237,19,2322,15,21,11.65
238,52,4730,18,28,1.58
239,33,2350,2,7,8.23
240,53,1529,22,36,5.6
241,50,1558,17,39,10.48
242,21,2682,18,42,2.54
243,50,4742,6,17,8.47
244,31,2217,19,51,10.14
245,38,1531,4,29,11.36
246,37,4544,1,13,8.36
247,25,4461,8,8,6.22
248,24,1558,23,18,7.61
249,20,4837,7,41,10.49
250,34,3377,3,38,7.06
251,50,2328,10,15,0.85
252,29,2380,10,45,11.21
253,39,337,19,7,8.43
254,39,3672,14,32,8.28
255,47,3032,2,33,2.98
256,25,3779,1,13,8.08
257,44,3231,23,7,5.03
258,44,4364,23,29,7.99
259,51,2793,18,38,1.73
260,38,4500,7,16,8.07
261,47,4018,8,46,11.99
262,50,4338,1,13,1.05
263,45,4023,23,19,11.74
264,50,4242,3,44,5.18
265,22,2106,24,29,10.51
266,36,960,23,9,9.5
267,21,3645,8,15,7.02
268,52,1099,22,38,8.99
269,34,4655,15,28,10.6
270,45,3147,5,19,5.15
271,47,1919,3,42,4.26
272,46,480,19,12,8.18
273,23,3466,1,9,9.79
274,52,2087,15,52,9.27
275,54,3466,8,30,9.67
276,41,866,2,22,5.51
277,46,4388,3,10,9.91
278,48,871,24,41,1.88
279,52,2169,14,52,6.76
280,50,4356,24,17,0.57
281,38,3322,14,32,4.23
282,49,4899,11,9,4.71
283,40,4977,16,17,5.06
284,50,4100,4,21,8.5
285,20,723,20,54,4.97
286,35,2593,5,44,5.66
287,42,3317,22,49,3.23
288,48,2793,21,36,4.79
289,20,2168,14,33,3.11
290,41,1953,23,55,1.34
291,49,2496,16,7,7.44
292,39,2461,18,44,8.18
293,40,2486,7,38,7.62
294,19,4402,10,44,5.83
295,44,3078,7,31,4.87
296,19,4343,1,17,10.43
297,43,3844,23,49,6.47
298,34,4632,21,37,6.01
299,50,2255,19,10,0.79
300,26,4920,16,28,4.42
301,46,1476,19,23,4.87
302,43,2966,4,20,5.09
303,52,502,18,44,7.17
304,42,838,2,32,6.64
305,41,255,1,37,7.49
306,30,725,15,52,9.3
307,24,4769,5,45,9.85
308,53,4323,20,17,8.76
309,37,2325,11,47,11.49
310,18,3487,10,49,0.71
311,25,564,2,29,2.75
312,33,4821,3,57,0.59
313,31,1846,23,46,7.95
314,29,1118,23,40,10.83
315,40,2997,12,31,3.3
316,32,1731,20,42,11.16
317,45,3545,5,11,1.19
318,51,2106,5,9,11.25
319,19,3286,6,47,4.54
320,49,4780,9,49,1.67
321,40,2275,2,55,6.09
322,39,913,21,35,3.45
323,42,1262,12,27,3.78
324,39,2176,3,46,4.03
325,39,1496,20,14,9.73
326,23,325,22,36,6.7
327,32,4832,12,47,4.08
328,54,3796,24,57,7.52
329,50,3483,17,34,8.74
330,25,1803,10,43,3.64
331,22,266,24,35,5.26
332,21,432,14,22,1.9
333,23,2356,23,40,2.58
334,49,1369,17,6,8.33
335,47,2358,18,18,2.59
336,52,4406,19,17,6.54
337,33,1693,17,33,8.65
338,30,4918,14,16,1.73
339,47,4207,9,43,7.02
340,36,2672,8,6,3.45
341,34,2860,2,36,11.57
342,36,2939,13,17,6.06
343,45,1961,7,50,9.77
344,43,3714,9,31,6.83
345,54,2175,22,53,1.0
346,43,2562,22,45,7.78
347,40,1076,11,21,11.44
348,26,4012,14,44,7.42
349,29,3648,4,35,9.92
350,18,1512,13,38,10.67
351,18,1660,2,28,3.12
352,51,2909,23,49,2.94
353,49,2524,5,39,7.53
354,42,1933,11,52,5.23
355,18,1805,6,10,10.16
356,33,2763,18,23,10.85
357,22,3621,21,34,4.56
358,39,3717,10,11,3.22
359,46,2597,4,14,9.48
360,20,3935,9,45,3.66
361,29,3070,6,36,9.96
362,43,1360,2,38,5.37
363,33,442,17,32,8.18
364,54,2790,5,19,1.6
365,39,1263,6,34,7.67
366,46,4524,12,41,5.7
367,31,2795,23,33,7.25
368,45,1119,21,26,2.43
369,22,205,10,8,8.97
370,47,667,22,24,10.42
371,22,4370,21,36,2.99
372,29,203,6,40,1.6
373,33,845,8,54,0.77
374,43,317,2,8,7.88
375,43,3128,12,31,7.48
376,38,2751,13,21,6.79
377,53,4489,21,16,3.17
378,50,1046,7,26,5.0
379,47,2962,10,21,7.34
380,54,1341,13,14,6.21
381,40,2010,17,58,11.86
382,27,923,21,5,2.07
383,22,424,14,26,8.49
384,53,4827,2,30,5.15
385,51,4408,22,22,5.42
386,48,4854,11,54,8.75
387,27,2248,1,18,8.46
388,36,4949,19,51,11.9
389,49,4615,21,33,1.98
390,18,1773,4,16,1.7
391,22,2028,19,40,8.83
392,21,2117,21,39,7.15
393,33,4434,11,56,3.65
394,41,2226,8,16,1.41
395,33,3944,11,11,1.49
396,19,1101,4,33,10.78
397,45,4985,17,15,2.71
398,49,2239,7,37,4.22
399,44,209,8,10,3.11
400,37,460,3,51,4.58
